2025-04-29 at 22:14:09 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 22:14:09 | DEBUG | Measurement time added to the rack.
2025-04-29 at 22:14:09 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 22:14:09 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 22:14:09 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 22:14:09 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 22:14:09 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 22:14:09 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 22:14:09 | INFO | Experiment started
2025-04-29 at 22:14:09 | DEBUG | All experiment tasks started
2025-04-29 at 22:14:09 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 22:14:09 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 22:14:09 | DEBUG | Running APIServer
2025-04-29 at 22:14:09 | DEBUG | Rack setup started
2025-04-29 at 22:14:09 | DEBUG | Rack setup completed
2025-04-29 at 22:14:09 | DEBUG | Running Rack
2025-04-29 at 22:14:09 | DEBUG | [Scribe] Setup started
2025-04-29 at 22:14:09 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 22:14:09 | DEBUG | [Scribe] Starting at: 04.00
2025-04-29 at 22:14:09 | DEBUG | [Scribe] Setup completed
2025-04-29 at 22:14:09 | DEBUG | Running Scribe
2025-04-29 at 22:14:09 | DEBUG | [Scribe] File data_sub\04.00 start.data does not exist. Creating new file.
2025-04-29 at 22:14:09 | DEBUG | [TaskManager] Setup started
2025-04-29 at 22:14:09 | DEBUG | [TaskManager] Setup completed
2025-04-29 at 22:14:09 | DEBUG | Running TaskManager
2025-04-29 at 22:14:09 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 22:14:11 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:14:11 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:14:59 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:14:59 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:15:15 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 22:15:15 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 22:15:15 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 22:15:15 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 22:15:15 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement time added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 22:15:15 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 22:15:15 | INFO | Experiment started
2025-04-29 at 22:15:15 | DEBUG | All experiment tasks started
2025-04-29 at 22:15:15 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 22:15:15 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 22:15:15 | DEBUG | Running APIServer
2025-04-29 at 22:15:15 | DEBUG | Rack setup started
2025-04-29 at 22:15:15 | DEBUG | Rack setup completed
